Unnamed: 0,POS_sentence,POS_word,base,dep,freq,function,index_s,ld20,length,open,story,type,v_onset,word,xmax,xmin,local_freq,entropy,isV,isN,isC,is_key,is_key_and_C,duration,freq_binary,freq_quart,sc_onset,ivc_avg,Entropy_Roark,Surprisal_Roark,env_avg
0,Ignore,Ignore,1.00E-07,1e-07,1e-07,1.00E-07,1e-07,1e-07,1e-07,1e-07,1e-07,Ignore,1e-07,Ignore,1e-07,0.0,1e-07,1e-07,0,0,0,0,0,1e-07,0,1,0.0,0.0,0.0,0.0,0.0
1,NE,N,Samir,2.0,15.0,objd,1.0,1.85,0.6,1.0,1.0,low,0.74,Samir,1.34,0.74,0.013861386000000002,1.47e-05,0,1,1,0,0,0.6000000000000001,1,4,-0.6762999999999999,-0.4976439745676386,5.939,10.615,0.6674520115520887
2,VAFIN,V,sein,0.0,4.0,root,2.0,1.1,0.16,0.0,1.0,low,1.39,war,1.5,1.34,0.011386138999999998,1.26e-05,1,1,1,0,0,0.15999999999999992,0,2,-0.02629999999999999,-0.4017957734323101,7.307,2.498,0.9823983926663814
3,ART,ART,eine,6.0,3.0,det,3.0,1.0,0.22,1.0,1.0,low,1.5,ein,1.72,1.5,0.018564356,1.83e-05,0,0,0,0,0,0.22,0,2,0.08370000000000011,-0.4779704184000666,5.5729999999999995,1.9040000000000001,0.5249950728638956
4,ADJA,ADJA,arm,6.0,12.0,attr,4.0,1.55,0.38,2.0,1.0,low,1.72,armer,2.1,1.72,0.002227723,3.37e-06,1,1,1,0,0,0.3800000000000001,1,4,0.3037000000000001,-0.5816369110921975,8.23,3.07,1.0290708900292949
5,ADJA,ADJA,indisch,6.0,17.0,attr,5.0,2.6,0.47,3.0,1.0,low,2.1,indischer,2.57,2.1,0.0014851489999999998,2.39e-06,1,1,1,0,0,0.4699999999999998,1,4,0.6837000000000002,-0.622557617543044,7.919,10.683,0.4947773944423657
6,NN,N,Junge,2.0,9.0,subj,6.0,1.55,0.32,0.0,1.0,low,2.68,Junge,2.89,2.57,0.001732673,2.73e-06,0,1,1,0,0,0.3200000000000003,1,3,1.2637000000000005,-0.6156541045938388,7.388,1.601,0.016192172810794152
7,ADV,ADV,so,9.0,4.0,adv,8.0,1.25,0.31,1.0,1.0,low,3.21,so,3.52,3.21,0.003960396,5.42e-06,1,1,1,0,0,0.31000000000000005,0,2,1.7937,0.8815411859344215,5.079,3.16,0.7142773649792047
8,ADJD,ADV,arm,2.0,12.0,pred,9.0,1.45,0.35,0.0,1.0,low,3.52,arm,3.87,3.52,0.002227723,3.37e-06,1,1,1,1,1,0.3500000000000001,1,4,2.1037,0.7748460285139569,6.472,9.172,0.9559385243726878
9,KOKOM,KOKOM,wie,9.0,3.0,kom,10.0,1.5,0.13,0.0,1.0,low,3.9,wie,4.0,3.87,0.01039604,1.18e-05,0,0,0,0,0,0.1299999999999999,0,2,2.4837,-0.08921115323399982,3.9330000000000003,0.483,-0.39025504198398486
10,ART,ART,die,12.0,0.0,det,11.0,1.15,0.12,1.0,1.0,low,4.03,der,4.12,4.0,0.109653465,6e-05,0,0,0,0,0,0.1200000000000001,0,1,2.6137000000000006,0.3849581176905236,5.8210000000000015,1.89,0.025702673224625112
11,NN,N,Staub,10.0,11.0,cj,12.0,1.6,0.43,0.0,1.0,low,4.33,Staub,4.55,4.12,0.000247525,5.09e-07,0,1,1,0,0,0.4299999999999997,1,3,2.9137000000000004,1.005592139786176,8.048,11.253,0.2575218909671461
12,APPR,PREP,auf,12.0,2.0,pp,13.0,1.3,0.13,0.0,1.0,low,4.55,auf,4.68,4.55,0.014356436,1.51e-05,0,0,0,0,0,0.1299999999999999,0,1,3.1337,1.7281539228665197,5.556,2.747,-0.043369906433928185
13,ART,ART,die,15.0,0.0,det,14.0,1.15,0.15,1.0,1.0,low,4.74,der,4.83,4.68,0.109653465,6e-05,0,0,0,0,0,0.15000000000000036,0,1,3.3237000000000005,0.592252363608037,6.045,1.89,-0.3148974689105481
14,NN,N,Landstra_,13.0,21.0,pn,15.0,2.65,0.68,0.0,1.0,low,4.89,Landstra_e,5.51,4.83,0.000247525,5.09e-07,0,1,1,0,0,0.6799999999999997,1,4,3.4737,-0.3899311524730572,7.393,14.622,-0.16212937508494268
15,PPER,PRO,er,2.0,3.0,subj,1.0,1.15,0.18,1.0,1.0,low,6.18,Er,6.36,6.18,0.025,2.28e-05,0,1,0,0,0,0.1800000000000006,0,2,4.7637,-0.6223541205864123,5.939,1.432,0.9695666347583235
16,VVFIN,V,wohnen,0.0,10.0,root,2.0,1.9,0.43,0.0,1.0,low,6.4,wohnte,6.79,6.36,0.00049505,9.33e-07,1,1,1,0,0,0.4299999999999997,1,3,4.983700000000002,-0.5706853771906372,5.791,10.856,1.2368988238752359
17,APPR,PREP,in,2.0,1.0,objp,3.0,1.7,0.08,0.0,1.0,low,6.79,in,6.87,6.79,0.019059406,1.87e-05,0,0,0,0,0,0.08000000000000007,0,1,5.3737,-0.4148698093031313,5.36,1.597,0.23226389669570377
18,PIS,PRO,eine,3.0,3.0,pn,4.0,1.7,0.28,0.0,1.0,low,6.87,einem,7.15,6.87,0.018564356,1.83e-05,0,1,0,0,0,0.28000000000000025,0,2,5.4537,-0.6142827873078901,5.572,2.7939999999999996,1.4400741467184206
19,ART,ART,die,8.0,0.0,det,5.0,1.15,0.12,1.0,1.0,low,7.18,der,7.27,7.15,0.109653465,6e-05,0,0,0,0,0,0.11999999999999922,0,1,5.7637,-0.5002041044450993,7.977,0.336,1.266567085213966
20,ADJA,ADJA,klein,8.0,10.0,attr,6.0,1.7,0.47,2.0,1.0,low,7.44,kleinen,7.74,7.27,0.0014851489999999998,2.39e-06,1,1,1,0,0,0.4700000000000006,1,3,6.0237000000000025,-0.6164689583487348,8.046,5.851,0.9188137251500422
21,ADJA,ADJA,sandig,8.0,17.0,attr,7.0,2.55,0.55,3.0,1.0,low,7.74,sandigen,8.29,7.74,0.000247525,5.09e-07,1,1,1,0,0,0.5499999999999989,1,4,6.3237000000000005,-0.6167348344922553,7.557,4.04,0.23967993843231983
22,NN,N,Dorf,4.0,9.0,gmod,8.0,1.95,0.285,0.0,1.0,low,8.37,Dörfer,8.575,8.29,0.00049505,9.33e-07,0,1,1,0,0,0.2850000000000001,1,3,6.9537,-0.5870938057241659,6.8370000000000015,9.502,0.27601027641249715
23,APPRART,PREP,an,4.0,4.0,pp,9.0,1.1,0.385,0.0,1.0,low,8.575,am,8.96,8.575,0.008415842,9.95e-06,0,0,0,0,0,0.3850000000000016,0,2,7.1587,-0.5791756746639162,4.9060000000000015,1.795,0.11968678929178128
24,NN,N,Ufer,9.0,11.0,pn,10.0,1.85,0.32,0.0,1.0,low,8.96,Ufer,9.28,8.96,0.000990099,1.7e-06,0,1,1,0,0,0.3199999999999985,1,3,7.543700000000001,-0.5611881439191629,5.178999999999999,6.051,-0.2588047670337174
25,ART,ART,die,12.0,0.0,det,11.0,1.45,0.16,1.0,1.0,low,9.31,des,9.44,9.28,0.109653465,6e-05,0,0,0,0,0,0.16000000000000014,0,1,7.893700000000001,-0.6525316977490625,4.501,1.105,-0.1276211345223061
26,NN,N,Gang,10.0,10.0,gmod,12.0,2.0,0.45,0.0,1.0,low,9.52,Ganges,9.89,9.44,0.001237624,2.05e-06,0,1,1,0,0,0.45000000000000107,1,3,8.1037,-0.3971860850720748,8.071,3.971,-0.011008785104272712
27,APPR,PREP,zwischen,12.0,5.0,pp,14.0,1.85,0.37,0.0,1.0,low,10.25,zwischen,10.52,10.15,0.0014851489999999998,2.39e-06,0,0,0,1,0,0.3699999999999992,0,2,8.8337,0.7127898899871931,4.534,4.177,0.35859099467993244
28,NE,N,Mandalay,14.0,17.0,pn,15.0,2.85,0.6,0.0,1.0,low,10.57,Mandalay,11.12,10.52,0.000247525,5.09e-07,0,1,1,0,0,0.5999999999999996,1,4,9.1537,0.7741781597701327,5.959,1.679,0.6702995275297269
29,KON,KON,und,15.0,1.0,kon,16.0,1.45,0.18,0.0,1.0,low,11.12,und,11.3,11.12,0.048514851,3.63e-05,0,0,0,0,0,0.1800000000000015,0,1,9.7037,-0.09236265873588162,4.652,0.102,-0.5063831022169544
30,NE,N,Prome,16.0,23.0,cj,17.0,1.8,0.33,0.0,1.0,low,11.43,Prome,11.7,11.37,0.000247525,5.09e-07,0,1,1,0,0,0.3300000000000001,1,4,10.0137,-0.5434084910854909,7.625,1.61,0.01913385907459442
31,PPOSAT,ART,seine,2.0,5.0,det,1.0,1.1,0.37,1.0,1.0,low,12.39,Seine,12.76,12.39,0.012376238,1.35e-05,0,0,0,0,0,0.3699999999999992,0,2,10.9737,0.424507801270521,5.939,3.467,0.4467366745275975
32,NN,N,Arbeit,3.0,7.0,subj,2.0,2.0,0.44,1.0,1.0,low,12.76,Arbeit,13.2,12.76,0.000742574,1.32e-06,0,1,1,0,0,0.4399999999999995,1,3,11.3437,-0.2955211055132659,7.664,5.856,1.2109753637149336
33,VAFIN,V,sein,0.0,4.0,root,3.0,1.1,0.38,0.0,1.0,low,13.27,war,13.58,13.2,0.011386138999999998,1.26e-05,1,1,1,0,0,0.3800000000000008,0,2,11.8537,-0.3350461974667168,6.27,2.696,0.3362789826163197
34,APPR,PREP,auf,10.0,2.0,pp,5.0,1.3,0.15,1.0,1.0,low,13.84,auf,13.99,13.84,0.014356436,1.51e-05,0,0,0,0,0,0.15000000000000036,0,1,12.4237,-0.3282374648740604,5.769,2.364,0.33071004198229825
35,ART,ART,die,8.0,0.0,det,6.0,1.25,0.14,2.0,1.0,low,14.07,die,14.18,14.04,0.109653465,6e-05,0,0,0,0,0,0.14000000000000054,0,1,12.6537,-0.18063199367825167,5.95,1.3259999999999998,-0.1749601770955787
36,ADJA,ADJA,hoch,8.0,8.0,attr,7.0,1.75,0.39,3.0,1.0,low,14.26,hohen,14.57,14.18,0.000990099,1.7e-06,1,1,1,1,1,0.39000000000000057,1,3,12.8437,0.17713891473457033,8.048,5.8629999999999995,0.24418362516487493
37,NN,N,Dorfpalme,5.0,30.0,pn,8.0,3.6,0.64,1.0,1.0,low,14.61,Dorfpalmen,15.21,14.57,0.000742574,1.32e-06,0,1,1,0,0,0.6400000000000006,1,4,13.1937,0.27315504154068826,7.511,1.641,-0.08486583257677985
38,PTKZU,PTKZU,zu,10.0,2.0,part,9.0,2.0,0.14,2.0,1.0,low,15.29,zu,15.35,15.21,0.010643564,1.2e-05,0,0,0,0,0,0.1399999999999988,0,1,13.8737,0.8654730607730517,4.94,3.338,-0.5799720391242886
39,VVINF,V,klettern,3.0,12.0,obji,10.0,1.8,0.51,0.0,1.0,low,15.46,klettern,15.86,15.35,0.0014851489999999998,2.39e-06,1,1,1,0,0,0.5099999999999998,1,4,14.0437,-0.07592617272064522,6.419,3.142,-0.2733600622829295
40,PRELS,PRO,die,17.0,0.0,subj,12.0,1.25,0.22,1.0,1.0,low,16.25,die,16.43,16.21,0.109653465,6e-05,0,1,0,0,0,0.21999999999999886,0,1,14.8337,-0.4799245325774157,5.8820000000000014,0.872,-0.08066848466536726
41,KOKOM,KOKOM,wie,17.0,3.0,kom,13.0,1.5,0.19,2.0,1.0,low,16.48,wie,16.62,16.43,0.01039604,1.18e-05,0,0,0,0,0,0.19000000000000128,0,2,15.0637,-0.3920537619126016,7.557,0.34299999999999997,-0.028300792300436577
42,NN,N,Mastbaum,13.0,19.0,cj,14.0,3.65,0.8,2.0,1.0,low,16.75,Mastbäume,17.42,16.62,0.000247525,5.09e-07,0,1,1,1,1,0.8000000000000007,1,4,15.3337,1.311397922634824,5.886,1.811,0.2860950239116054
43,APPRART,PREP,an,17.0,4.0,pp,15.0,1.1,0.13,3.0,1.0,low,17.42,am,17.55,17.42,0.008415842,9.95e-06,0,0,0,0,0,0.129999999999999,0,2,16.003700000000002,0.2985290846545791,7.051,1.895,0.09110013729913732
44,NN,N,Strand,15.0,12.0,pn,16.0,1.9,0.37,3.0,1.0,low,17.84,Strand,18.0,17.63,0.000247525,5.09e-07,0,1,1,0,0,0.37000000000000105,1,4,16.4237,-0.09496295068841773,5.127000000000002,7.445,0.37233092252331845
45,VVFIN,V,aufragen,8.0,17.0,rel,17.0,1.65,0.77,0.0,1.0,low,18.09,aufragen,18.86,18.09,0.000247525,5.09e-07,1,1,1,0,0,0.7699999999999996,1,4,16.6737,0.6455443090240647,6.7520000000000024,2.531,0.052898458284926626
46,KON,KON,und,10.0,1.0,kon,19.0,1.45,0.13,0.0,1.0,low,19.11,und,19.24,19.11,0.048514851,3.63e-05,0,0,0,0,0,0.129999999999999,0,1,17.6937,0.8091628527254836,5.8420000000000005,0.131,-0.18894421224624833
47,ADV,ADV,oben,21.0,9.0,adv,20.0,1.55,0.32,1.0,1.0,low,19.37,oben,19.69,19.37,0.001980198,3.05e-06,1,1,1,0,0,0.3200000000000003,1,3,17.9537,0.09050217420957513,5.796,8.107999999999999,0.5318079712013842
48,APPR,PREP,in,30.0,1.0,pp,21.0,1.7,0.12,1.0,1.0,low,19.69,in,19.81,19.69,0.019059406,1.87e-05,0,0,0,0,0,0.11999999999999746,0,1,18.2737,0.05454365221280987,5.894,1.564,0.05703430250296264
49,ART,ART,die,23.0,0.0,det,22.0,1.25,0.1,2.0,1.0,low,19.84,die,19.91,19.81,0.109653465,6e-05,0,0,0,0,0,0.10000000000000142,0,1,18.4237,-0.5318371609547783,5.291,1.895,-0.13834852154463428
50,NN,N,Blattspross,21.0,30.0,pn,23.0,3.85,0.75,1.0,1.0,low,20.05,Blattsprossen,20.66,19.91,0.000247525,5.09e-07,0,1,1,0,0,0.75,1,4,18.6337,-0.4009038710449672,8.014,1.835,-0.10462136644757082
51,ART,ART,die,25.0,0.0,det,24.0,1.15,0.17,2.0,1.0,low,20.69,der,20.83,20.66,0.109653465,6e-05,0,0,0,0,0,0.16999999999999815,0,1,19.2737,-0.3937079469419084,5.25,0.738,-0.25170810754425255
52,NN,N,Palme,23.0,14.0,gmod,25.0,1.8,0.45,1.0,1.0,low,20.88,Palmen,21.28,20.83,0.001237624,2.05e-06,0,1,1,0,0,0.4500000000000029,1,4,19.4637,0.13961463715853548,8.09,10.564,-0.2386695790365126
53,ART,ART,eine,28.0,3.0,det,26.0,1.0,0.22,2.0,1.0,low,21.52,ein,21.74,21.52,0.018564356,1.83e-05,0,0,0,0,0,0.21999999999999886,0,2,20.1037,2.499381425833147,4.638,2.785,-0.10101118344873772
54,PIDAT,ART,paar,28.0,9.0,attr,27.0,1.05,0.18,3.0,1.0,low,21.77,paar,21.92,21.74,0.000742574,1.32e-06,0,0,0,0,0,0.18000000000000327,1,3,20.3537,0.34732057643177666,6.681,0.764,0.03455549664328625
55,NN,N,Kerbschnitt,30.0,22.0,obja,28.0,3.5,0.68,2.0,1.0,low,21.98,Kerbschnitte,22.6,21.92,0.000247525,5.09e-07,0,1,1,0,0,0.6799999999999997,1,4,20.5637,-0.0024748720304183123,7.895,1.716,-0.39386466697255107
56,PTKZU,PTKZU,zu,30.0,2.0,part,29.0,2.0,0.16,3.0,1.0,low,22.69,zu,22.76,22.6,0.010643564,1.2e-05,0,0,0,0,0,0.16000000000000014,0,1,21.2737,-0.12428925527891226,4.7330000000000005,2.8,0.002098832953800847
57,VVINF,V,ritzen,19.0,17.0,cj,30.0,1.55,0.43,0.0,1.0,low,22.82,ritzen,23.19,22.76,0.000247525,5.09e-07,1,1,1,1,1,0.4299999999999997,1,4,21.4037,1.2634979655134164,6.314,2.7030000000000003,-0.39965185577239626
58,KON,KON,und,30.0,1.0,kon,31.0,1.45,0.13,0.0,1.0,low,23.52,und,23.65,23.52,0.048514851,3.63e-05,0,0,0,0,0,0.129999999999999,0,1,22.1037,0.6967163163207155,5.136,0.17800000000000002,-0.34695936535269184
59,ADJA,ADJA,klein,33.0,10.0,attr,32.0,1.65,0.48,1.0,1.0,low,23.93,kleine,24.2,23.72,0.0014851489999999998,2.39e-06,1,1,1,0,0,0.4800000000000004,1,3,22.5137,0.2921121616221229,5.178999999999999,6.409,0.8510321822096008
60,NN,N,Blechgefä_,36.0,21.0,obja,33.0,4.75,0.82,1.0,1.0,low,24.35,Blechgefä_e,25.02,24.2,0.00049505,9.33e-07,0,1,1,1,1,0.8200000000000003,1,4,22.9337,0.6455188433851824,6.796,1.599,-0.09297940403727227
61,PROAV,PROAV,darunter,33.0,8.0,pp,34.0,2.65,0.51,1.0,1.0,low,25.05,darunter,25.53,25.02,0.00049505,9.33e-07,0,1,0,0,0,0.5100000000000016,1,3,23.6337,0.7069356173301766,4.609,3.957,0.19576416993419496
62,PTKZU,PTKZU,zu,36.0,2.0,part,35.0,2.0,0.15,2.0,1.0,low,25.6,zu,25.68,25.53,0.010643564,1.2e-05,0,0,0,0,0,0.14999999999999858,0,1,24.1837,1.891325391652469,5.912000000000001,1.355,-0.33321062202049073
63,VVINF,V,hängen,31.0,10.0,cj,36.0,1.4,0.49,0.0,1.0,low,25.74,hängen,26.17,25.68,0.001237624,2.05e-06,1,1,1,0,0,0.490000000000002,1,3,24.3237,0.5639360237487838,6.584,2.609,-0.44039277118904685
64,KOUS,KOUS,sodass,44.0,13.0,konj,38.0,2.05,0.27,1.0,1.0,low,26.42,sodass,26.69,26.42,0.000742574,1.32e-06,0,0,0,0,0,0.2699999999999996,1,4,25.0037,-0.16811687417260646,2.799,2.93,0.15144492757795286
65,ART,ART,die,40.0,0.0,det,39.0,1.15,0.2,2.0,1.0,low,26.78,der,26.89,26.69,0.109653465,6e-05,0,0,0,0,0,0.1999999999999993,0,1,25.3637,0.14209471300924476,4.788,1.787,-0.1932792206539704
66,NN,N,Palmensaft,44.0,23.0,subj,40.0,3.1,0.52,2.0,1.0,low,26.98,Palmensaft,27.41,26.89,0.000247525,5.09e-07,0,1,1,0,0,0.5199999999999996,1,4,25.5637,0.9419714349838008,8.107999999999999,1.778,0.008327989562188531
67,APPR,PREP,in,44.0,1.0,pp,41.0,1.7,0.12,3.0,1.0,low,27.56,in,27.68,27.56,0.019059406,1.87e-05,0,0,0,0,0,0.12000000000000098,0,1,26.1437,0.11867897118649938,6.0020000000000024,1.646,-8.13541120038542e-05
68,ART,ART,die,43.0,0.0,det,42.0,1.25,0.15,4.0,1.0,low,27.71,die,27.83,27.68,0.109653465,6e-05,0,0,0,0,0,0.14999999999999858,0,1,26.2937,-0.1841391265973253,5.186,1.896,-0.45885675096651557
69,NN,N,Topf,41.0,12.0,pn,43.0,1.9,0.34,3.0,1.0,low,27.91,Töpfe,28.22,27.88,0.00049505,9.33e-07,0,1,1,0,0,0.33999999999999986,1,4,26.4937,-0.07181652122146698,7.98,11.354000000000001,-0.46715784742818617
70,VVFIN,V,sickern,36.0,16.0,neb,44.0,2.9,0.5,0.0,1.0,low,28.22,sickerte,28.72,28.22,0.000247525,5.09e-07,1,1,1,1,1,0.5,1,4,26.8037,-0.3824533846395627,6.2139999999999995,8.829,-0.4675879724329085
71,ADV,ADV,dort,2.0,6.0,adv,1.0,1.2,0.4,1.0,1.0,low,30.3,Dort,30.63,30.23,0.001732673,2.73e-06,1,1,1,0,0,0.3999999999999986,1,2,28.8837,-0.5604109215743281,5.939,3.9930000000000003,0.16303722079546726
72,ADV,ADV,oben,3.0,9.0,adv,2.0,1.55,0.42,1.0,1.0,low,30.63,oben,31.05,30.63,0.001980198,3.05e-06,1,1,1,0,0,0.4200000000000017,1,3,29.2137,-0.6191472418580646,6.327999999999999,3.6489999999999996,0.06793956800231528
73,APPR,PREP,auf,9.0,2.0,pp,3.0,1.3,0.15,1.0,1.0,low,31.29,auf,31.44,31.29,0.014356436,1.51e-05,0,0,0,0,0,0.15000000000000213,0,1,29.8737,-0.6102049427181002,5.465,1.819,-0.008422837033532214
74,ART,ART,die,8.0,0.0,det,4.0,1.15,0.16,2.0,1.0,low,31.49,der,31.6,31.44,0.109653465,6e-05,0,0,0,0,0,0.16000000000000014,0,1,30.0737,-0.6222219114672656,5.5710000000000015,1.879,0.3506538463680102
75,ADJA,ADJA,lang,8.0,7.0,attr,5.0,1.25,0.4,3.0,1.0,low,31.7,langen,32.0,31.6,0.000990099,1.7e-06,1,1,1,0,0,0.3999999999999986,1,3,30.2837,0.1007659136128152,7.354,6.3839999999999995,0.951856089179468
76,ADJA,ADJA,schaukelnd,5.0,18.0,kon,7.0,3.75,0.71,3.0,1.0,low,32.18,schaukelnden,32.71,32.0,0.000247525,5.09e-07,1,1,1,1,1,0.7100000000000009,1,4,30.7637,1.6488801899784489,7.521,4.291,0.26379452728411285
77,NN,N,Palme,3.0,14.0,pn,8.0,1.9,0.54,1.0,1.0,low,32.75,Palme,33.25,32.71,0.001237624,2.05e-06,0,1,1,0,0,0.5399999999999991,1,4,31.3337,0.5470029932824473,6.8870000000000005,9.988999999999999,0.12823083916758712
78,VVFIN,V,sitzen,0.0,9.0,root,9.0,1.2,0.405,0.0,1.0,low,33.49,sa_,33.895,33.49,0.0014851489999999998,2.39e-06,1,1,1,0,0,0.4050000000000011,1,3,32.0737,0.5866918246244909,5.242000000000001,6.763999999999999,0.7055008904590848
79,PPER,PRO,er,9.0,3.0,subj,10.0,1.15,0.255,0.0,1.0,low,33.895,er,34.15,33.895,0.025,2.28e-05,0,1,0,0,0,0.25499999999999545,0,2,32.4787,0.04246695785077599,2.655,1.436,1.1800056840723767
80,KOKOM,KOKOM,wie,9.0,3.0,kom,11.0,1.5,0.19,0.0,1.0,low,34.2,wie,34.34,34.15,0.01039604,1.18e-05,0,0,0,0,0,0.1900000000000049,0,2,32.7837,-0.17348582540827312,5.899,0.38299999999999995,-0.18195281578685915
81,ART,ART,eine,14.0,3.0,det,12.0,1.0,0.15,1.0,1.0,low,34.34,ein,34.49,34.34,0.018564356,1.83e-05,0,0,0,0,0,0.14999999999999858,0,2,32.923700000000004,-0.3057972827573585,5.6560000000000015,1.724,0.5866991531015965
82,ADJA,ADJA,nackt,14.0,12.0,attr,13.0,1.85,0.4,2.0,1.0,low,34.58,nackter,34.89,34.49,0.001237624,2.05e-06,1,1,1,0,0,0.3999999999999986,1,4,33.1637,-0.4283782624525469,8.183,10.921,-0.05180429617127
83,NN,N,Menschenaffe,11.0,19.0,cj,14.0,3.55,0.74,0.0,1.0,low,34.95,Menschenaffe,35.63,34.89,0.000247525,5.09e-07,0,1,1,0,0,0.7400000000000021,1,4,33.5337,-0.5310179538069945,7.209,1.629,-0.17653204408825288
84,KON,KON,und,9.0,1.0,kon,15.0,1.45,0.14,0.0,1.0,low,35.92,und,36.06,35.92,0.048514851,3.63e-05,0,0,0,0,0,0.14000000000000054,0,1,34.5037,-0.3596992160441748,5.252999999999999,0.526,-0.08114795862318895
85,VVFIN,V,sehen,15.0,6.0,cj,16.0,1.0,0.41,0.0,1.0,low,36.06,sah,36.47,36.06,0.003465347,4.86e-06,1,1,1,0,0,0.4099999999999966,1,2,34.6437,0.08052311025283544,7.7010000000000005,5.5020000000000024,0.601360978876609
86,APPR,PREP,von,16.0,2.0,pp,17.0,1.0,0.275,0.0,1.0,low,36.47,von,36.745,36.47,0.012376238,1.35e-05,0,0,0,0,0,0.2749999999999986,0,1,35.0537,1.0335398020301858,5.084,3.8539999999999996,-0.10655572662223986
87,ADV,ADV,unten,17.0,10.0,adv,18.0,1.9,0.435,0.0,1.0,low,36.745,unten,37.18,36.745,0.001237624,2.05e-06,1,1,1,1,1,0.4350000000000023,1,3,35.3287,-0.3700475033508309,5.595,3.9530000000000003,-0.05395572614514863
88,APPR,PREP,gegen,16.0,4.0,pp,19.0,1.5,0.23,0.0,1.0,low,37.21,gegen,37.41,37.18,0.000742574,1.32e-06,0,0,0,0,0,0.2299999999999969,0,2,35.7937,-0.09904326638553901,6.126,4.315,0.3081977382008251
89,ART,ART,die,22.0,0.0,det,20.0,1.25,0.2,1.0,1.0,low,37.44,den,37.61,37.41,0.109653465,6e-05,0,0,0,0,0,0.20000000000000284,0,1,36.0237,0.5380254517260106,5.728,1.507,0.11203902750446272
90,ADJA,ADJA,blendend,22.0,14.0,attr,21.0,3.9,0.49,2.0,1.0,low,37.72,blendenden,38.1,37.61,0.000247525,5.09e-07,1,1,1,0,0,0.490000000000002,1,4,36.3037,0.7274591024074966,7.853,11.192,0.21151807257243962
91,NN,N,Himmel,19.0,9.0,pn,22.0,1.7,0.36,0.0,1.0,low,38.13,Himmel,38.46,38.1,0.000742574,1.32e-06,0,1,1,0,0,0.35999999999999943,1,3,36.7137,0.5300088696314186,7.127999999999999,8.66,0.20084260274611115
92,PTKVZ,PTKVZ,aus,16.0,3.0,avz,23.0,1.0,0.3,0.0,1.0,low,38.46,aus,38.76,38.46,0.003960396,5.42e-06,0,0,0,0,0,0.2999999999999972,0,2,37.0437,-0.1519751390388967,5.857,2.804,0.3811076215014617
93,KOKOM,KOKOM,als,0.0,3.0,root,25.0,1.25,0.14,0.0,1.0,low,39.06,als,39.2,39.06,0.004950495,6.5000000000000004e-06,0,0,0,0,0,0.14000000000000054,0,2,37.6437,-0.29621155906555835,5.563,3.272,0.825804051474598
94,VAFIN,V,sein,0.0,4.0,root,26.0,1.7,0.33,0.0,1.0,low,39.36,wäre,39.58,39.25,0.011386138999999998,1.26e-05,1,1,1,0,0,0.3299999999999983,0,2,37.9437,-0.3906034467718189,6.2079999999999975,2.93,0.7756233442871834
95,PPER,PRO,er,26.0,3.0,subj,27.0,1.15,0.12,0.0,1.0,low,39.58,er,39.7,39.58,0.025,2.28e-05,0,1,0,0,0,0.12000000000000455,0,2,38.1637,-0.41204760627148335,4.729,1.923,1.2019212620653794
96,APPR,PREP,aus,31.0,3.0,pp,28.0,1.0,0.22,1.0,1.0,low,39.7,aus,39.92,39.7,0.003960396,5.42e-06,0,0,0,0,0,0.21999999999999886,0,2,38.2837,-0.5136996009770389,6.053,3.6289999999999996,0.5586883829047421
97,ADJA,ADJA,schwarz,30.0,11.0,attr,29.0,2.05,0.55,2.0,1.0,low,40.2,schwarzem,40.64,40.09,0.000990099,1.7e-06,1,1,1,0,0,0.5499999999999972,1,3,38.7837,-0.35622686112411106,5.337999999999999,9.068,0.15570454327116984
98,NN,N,Papier,28.0,9.0,pn,30.0,1.9,0.34,1.0,1.0,low,40.68,Papier,40.98,40.64,0.000247525,5.09e-07,0,1,1,0,0,0.3399999999999963,1,3,39.2637,-0.35986367628940386,7.796,7.907999999999999,-0.04880962755149139
99,VVPP,V,ausschneiden,26.0,17.0,aux,31.0,2.65,0.62,0.0,1.0,low,40.98,ausgeschnitten,41.6,40.98,0.000247525,5.09e-07,1,1,1,0,0,0.6200000000000045,1,4,39.5637,-0.5127800736976744,5.995,2.569,-0.24473023510373298
100,KON,KON,und,26.0,1.0,kon,32.0,1.45,0.12,0.0,1.0,low,42.23,und,42.35,42.23,0.048514851,3.63e-05,0,0,0,0,0,0.12000000000000455,0,1,40.8137,-0.6034237535958322,5.394,0.29600000000000004,0.00782517960017718
101,VMFIN,V,können,32.0,5.0,cj,33.0,1.75,0.32,0.0,1.0,low,42.5,könnte,42.75,42.43,0.0014851489999999998,2.39e-06,1,1,1,0,0,0.3200000000000003,0,2,41.0837,-0.5549175770321992,6.537000000000001,3.8289999999999997,0.09175587567557113
102,APPR,PREP,von,38.0,2.0,pp,34.0,1.0,0.11,1.0,1.0,low,42.75,von,42.86,42.75,0.012376238,1.35e-05,0,0,0,0,0,0.10999999999999943,0,1,41.3337,-0.6020840075004993,5.027,2.65,0.12594125295516015
103,ART,ART,eine,37.0,3.0,det,35.0,1.7,0.19,2.0,1.0,low,42.86,einem,43.05,42.86,0.018564356,1.83e-05,0,0,0,0,0,0.18999999999999773,0,2,41.4437,-0.5795517675230663,5.159,2.157,0.8232097292449492
