Unnamed: 0,POS_sentence,POS_word,base,dep,freq,function,index_s,ld20,length,open,story,type,v_onset,word,xmax,xmin,local_freq,entropy,isV,isN,isC,is_key,is_key_and_C,duration,freq_binary,freq_quart,sc_onset,ivc_avg,Entropy_Roark,Surprisal_Roark,env_avg
1904,ART,ART,eine,8.0,3.0,det,6.0,1.0,0.27,2.0,9.0,low,118.42,eine,118.69,118.42,0.018564356,1.83e-05,0,0,0,0,0,0.269999999999996,0,2,117.0279,-0.09239052023455847,5.278,3.6839999999999997,1.1073719382594307
1905,ADJA,ADJA,rosaseiden,8.0,30.0,attr,7.0,6.25,0.86,3.0,9.0,low,118.73,rosaseidene,119.55,118.69,0.000247525,5.09e-07,1,1,1,0,0,0.8599999999999994,1,4,117.3379,-0.08613369760515961,7.916,3.0069999999999997,1.1948213745674354
1906,NN,N,Jacke,5.0,12.0,pn,8.0,1.55,0.41,1.0,9.0,low,119.66,Jacke,119.96,119.55,0.00049505,9.33e-07,0,1,1,1,1,0.4099999999999966,1,4,118.2679,-0.17481204525492555,7.937,11.345999999999998,0.20639200674961491
1907,KON,KON,und,5.0,1.0,kon,9.0,1.45,0.09,1.0,9.0,low,120.3,und,120.39,120.3,0.048514851,3.63e-05,0,0,0,0,0,0.09000000000000341,0,1,118.9079,-0.217602260780432,5.513999999999999,0.436,0.04674787169391108
1908,APPR,PREP,in,9.0,1.0,cj,10.0,1.7,0.13,1.0,9.0,low,120.39,in,120.52,120.39,0.019059406,1.87e-05,0,0,0,0,0,0.12999999999999545,0,1,118.9979,-0.2836354908161233,6.205,1.422,0.09849741089360874
1909,ART,ART,eine,13.0,3.0,det,11.0,1.0,0.27,2.0,9.0,low,120.52,einen,120.79,120.52,0.018564356,1.83e-05,0,0,0,0,0,0.27000000000001023,0,2,119.1279,-0.14502549995273914,5.732,4.524,1.0345105163696562
1910,ADJA,ADJA,grünseiden,13.0,30.0,attr,12.0,5.55,0.83,3.0,9.0,low,120.89,grünseidenen,121.62,120.79,0.000247525,5.09e-07,1,1,1,0,0,0.8299999999999983,1,4,119.4979,-0.31019860937611576,7.909,3.054,0.6895256044929938
1911,NN,N,Festrock,10.0,23.0,pn,13.0,2.65,0.46,1.0,9.0,low,121.62,Festrock,122.08,121.62,0.000247525,5.09e-07,0,1,1,1,1,0.4599999999999938,1,4,120.2279,-0.35980901335810705,7.2920000000000025,1.614,-0.21067011142483041
1912,VVPP,V,kleiden,2.0,14.0,aux,14.0,2.9,0.49,0.0,9.0,low,122.2,gekleidet,122.66,122.17,0.00049505,9.33e-07,1,1,1,0,0,0.4899999999999949,1,4,120.8079,-0.4361685243213456,3.2119999999999997,2.465,0.17859069174072142
1913,APPR,PREP,mit,14.0,2.0,pp,16.0,1.45,0.18,0.0,9.0,low,123.31,mit,123.45,123.27,0.006930693000000001,8.53e-06,0,0,0,0,0,0.18000000000000682,0,1,121.9179,-0.44650005589370795,1.875,2.2840000000000003,-0.12851082234312078
1914,ADJA,ADJA,silbern,18.0,15.0,attr,17.0,2.9,0.6,1.0,9.0,low,123.45,silbernen,124.05,123.45,0.000247525,5.09e-07,1,1,1,0,0,0.5999999999999943,1,4,122.0579,-0.5075825914791042,5.653,12.07,0.90156050971117
1915,NN,N,Filigranblume,16.0,30.0,pn,18.0,6.8,1.02,0.0,9.0,low,124.14,Filigranblumen,125.16,124.14,0.000247525,5.09e-07,0,1,1,0,0,1.019999999999996,1,4,122.7479,-0.4302152979387561,7.754,1.59,0.17256441414862508
1916,KON,KON,und,18.0,1.0,kon,19.0,1.45,0.21,0.0,9.0,low,125.51,und,125.72,125.51,0.048514851,3.63e-05,0,0,0,0,0,0.20999999999999366,0,1,124.1179,1.1728300977238606,4.5089999999999995,0.24,0.0008843328711090451
1917,ADJA,ADJA,schwarz,25.0,11.0,attr,20.0,1.6,0.74,1.0,9.0,low,125.92,schwarzen,126.46,125.72,0.000990099,1.7e-06,1,1,1,0,0,0.7399999999999949,1,3,124.5279,3.2082456612351464,6.01,2.642,0.27314792267670696
1918,ADJA,ADJA,hochfrisiert,20.0,22.0,kon,22.0,4.7,1.1,1.0,9.0,low,126.61,hochfrisierten,127.71,126.61,0.000247525,5.09e-07,1,1,1,1,1,1.0999999999999943,1,4,125.2179,1.2130682714351266,7.9179999999999975,4.263999999999999,-0.0011406380688664998
1919,ADJA,ADJA,parfümiert,22.0,17.0,kon,24.0,4.05,0.78,1.0,9.0,low,127.76,parfümierten,128.49,127.71,0.000247525,5.09e-07,1,1,1,0,0,0.7800000000000153,1,4,126.3679,2.132596928565748,6.329,4.447,-0.13012733810687277
1920,NN,N,Haar,19.0,10.0,cj,25.0,1.15,0.35,0.0,9.0,low,128.58,Haar,128.84,128.49,0.000990099,1.7e-06,0,1,1,0,0,0.3499999999999943,1,3,127.1879,3.4162446833800413,3.0589999999999997,13.790999999999999,0.034112919771684784
1921,KON,KON,und,16.0,1.0,kon,26.0,1.45,0.11,0.0,9.0,low,129.33,und,129.44,129.33,0.048514851,3.63e-05,0,0,0,0,0,0.10999999999998522,0,1,127.9379,-0.34574466888410177,4.777,0.19899999999999998,-0.16113364232591207
